Linea;registros;mae;rmse;r2;demanda_media_real;demanda_media_predicha
165;31;292.42;476.61;0.9397;3665.68;3552.1
127;31;291.45;397.48;0.9569;5566.52;5623.13
67;31;288.58;389.67;0.9751;5580.94;5681.65
831;31;286.9;539.1;0.7937;2366.68;2233.97
105;31;283.81;471.58;0.9208;3488.39;3426.06
123;31;280.97;398.06;0.9594;4896.9;4933.23
481;31;278.52;476.67;0.8913;2671.29;2539.23
178;31;274.81;406.3;0.9446;3380.1;3349.87
79;31;274.13;348.71;0.9235;4348.0;4421.23
112;31;273.52;319.09;0.8899;2799.77;2823.42
200;31;271.97;335.54;0.3774;4606.13;4714.87
72;31;271.45;415.65;0.9083;3390.45;3401.39
141;31;266.97;356.59;0.9795;6553.39;6495.71
87;31;266.77;416.89;0.9367;3660.39;3629.1
151;31;262.52;425.08;0.903;2576.19;2479.55
51;31;262.45;343.8;0.8693;3071.1;3194.13
119;31;260.74;320.37;0.9652;5489.0;5570.19
372;11;260.45;353.34;0.398;1579.73;1489.27
454;20;256.05;300.27;0.1325;2685.1;2798.25
247;31;254.61;305.6;0.6636;2708.81;2786.0
12;31;253.06;367.94;0.9652;4145.26;4128.13
129;31;251.97;362.27;0.8645;1973.68;1904.94
521;31;247.19;344.09;0.8144;996.55;1009.74
175;31;244.97;374.95;0.9184;2479.68;2436.52
171;31;244.26;376.39;0.9623;4337.68;4322.39
363;31;243.29;329.44;0.8496;3014.9;3134.13
180;17;242.65;315.7;-53.3346;566.0;727.0
75;31;236.68;309.09;0.8559;3345.65;3414.52
866;31;236.19;351.0;0.5302;1359.52;1259.52
109;31;233.42;296.68;0.8673;2628.94;2651.0
166;31;233.23;356.6;0.6588;1114.1;1053.58
50;31;230.55;286.58;0.7063;2594.94;2688.65
81;31;222.97;289.9;0.9721;4861.16;4835.42
162;31;221.23;288.04;0.9694;3479.0;3478.42
107;31;221.19;334.37;0.9207;2779.87;2780.35
90;16;220.94;263.89;-2.9716;971.25;1180.31
453;25;214.12;269.9;0.7255;2030.36;2058.96
451;20;213.15;250.24;-0.9531;931.35;810.8
100;31;211.06;377.01;0.8984;2303.29;2208.35
